path,git_state,classification,commit_group,bytes,working_sha256,reason,asset_ids,authorization,recovery,publication_authorized,execution_state,p6_owner_g1_execution,p6_owner_g1_head,p6_owner_g2_execution,p6_owner_g2_head,p6_final_published_head,p6_final_delivery_state,p6_final_published_working_sha256,postmerge_553_sha,postmerge_553_state,postmerge_553_pending,postmerge_authorized_execution,postmerge_local_develop_sync,postmerge_final_status,postmerge_final_develop_sha,postmerge_final_record_delivery
.agents.lock.json,DELETED,DELIVER,G1,,ABSENT,Formal native asset/direct consumer/test/doc or exact authorized deletion,A001,P5 Owner exact81; report§58–60,D:\workspace\10-software-project\projects\mj-agent\maintain\codex-dev-mode-migration\.mj-agent-local\p5-entry-review\legacy-81-before.zip#.agents.lock.json,YES_OWNER_APPROVED_EXACT_PACKAGE,G1_STAGED_COMMIT_BLOCKED,OWNER_COMMITTED_VERIFIED,e5f99c87a50ad47856a41f40c2acccf75a5534da,OWNER_COMMITTED_VERIFIED,1eb9257f15ee250b732f5db8a7f0b4266c0d2401,11e24377be7588d6d68564ab9b40fe0027ba3c1e,PUBLISHED_VERIFIED,,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PR_MERGED_VERIFIED; TECH_BOUNDED_PASS; EXTERNAL_NOT_TESTED,LOCAL_DEVELOP_FF; GITEE_DEVELOP_FF; PLAN_DRAFT_STATE_OWNER_CORRECTION; RECORDS_LOCAL_UNCOMMITTED,PLAN_COMPLETED_LOCAL; LOCAL_DEVELOP_FF_COLLISION; MIRROR_PUSH_APPROVED_PENDING_OWNER_ROUTE,PASS_fc85d3ce; PLAN_COMPLETED_LOCAL; MIRROR_APPROVED_PENDING_OWNER_TERMINAL,AUTHORIZED_ACTIONS_COMPLETE; MERGED_SYNCED; EXTERNAL_NOT_TESTED,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PLAN_AND_SIX_RECORDS_LOCAL_UNSTAGED_NOT_PUBLISHED
.agents/README.md,MODIFIED,DELIVER,G1,524,5cbfe9b511eb5f405cbe40504e875a3165a353afd31d864600fb4e4827a02bea,Formal native asset/direct consumer/test/doc or exact authorized deletion,A002;A029,P3 approved A1–A6 plus named P4/P5 increments; see asset_ids and report§15/16/20/23/50/55/58,P0–P4 exact public backups and increments; P5 recovery-after-resume.json; HEAD only committed baseline,YES_OWNER_APPROVED_EXACT_PACKAGE,G1_STAGED_COMMIT_BLOCKED,OWNER_COMMITTED_VERIFIED,e5f99c87a50ad47856a41f40c2acccf75a5534da,OWNER_COMMITTED_VERIFIED,1eb9257f15ee250b732f5db8a7f0b4266c0d2401,11e24377be7588d6d68564ab9b40fe0027ba3c1e,PUBLISHED_VERIFIED,5cbfe9b511eb5f405cbe40504e875a3165a353afd31d864600fb4e4827a02bea,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PR_MERGED_VERIFIED; TECH_BOUNDED_PASS; EXTERNAL_NOT_TESTED,LOCAL_DEVELOP_FF; GITEE_DEVELOP_FF; PLAN_DRAFT_STATE_OWNER_CORRECTION; RECORDS_LOCAL_UNCOMMITTED,PLAN_COMPLETED_LOCAL; LOCAL_DEVELOP_FF_COLLISION; MIRROR_PUSH_APPROVED_PENDING_OWNER_ROUTE,PASS_fc85d3ce; PLAN_COMPLETED_LOCAL; MIRROR_APPROVED_PENDING_OWNER_TERMINAL,AUTHORIZED_ACTIONS_COMPLETE; MERGED_SYNCED; EXTERNAL_NOT_TESTED,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PLAN_AND_SIX_RECORDS_LOCAL_UNSTAGED_NOT_PUBLISHED
.agents/references/execution-boundaries.md,UNTRACKED,DELIVER,G1,6885,89d903422376b89363f413c50357521c07e29b12cdb0d9289fc226ddaa54f8da,Formal native asset/direct consumer/test/doc or exact authorized deletion,P201;P3-026,P3 approved A1–A6 plus named P4/P5 increments; see asset_ids and report§15/16/20/23/50/55/58,P0–P4 exact public backups and increments; P5 recovery-after-resume.json; HEAD only committed baseline,YES_OWNER_APPROVED_EXACT_PACKAGE,G1_STAGED_COMMIT_BLOCKED,OWNER_COMMITTED_VERIFIED,e5f99c87a50ad47856a41f40c2acccf75a5534da,OWNER_COMMITTED_VERIFIED,1eb9257f15ee250b732f5db8a7f0b4266c0d2401,11e24377be7588d6d68564ab9b40fe0027ba3c1e,PUBLISHED_VERIFIED,89d903422376b89363f413c50357521c07e29b12cdb0d9289fc226ddaa54f8da,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PR_MERGED_VERIFIED; TECH_BOUNDED_PASS; EXTERNAL_NOT_TESTED,LOCAL_DEVELOP_FF; GITEE_DEVELOP_FF; PLAN_DRAFT_STATE_OWNER_CORRECTION; RECORDS_LOCAL_UNCOMMITTED,PLAN_COMPLETED_LOCAL; LOCAL_DEVELOP_FF_COLLISION; MIRROR_PUSH_APPROVED_PENDING_OWNER_ROUTE,PASS_fc85d3ce; PLAN_COMPLETED_LOCAL; MIRROR_APPROVED_PENDING_OWNER_TERMINAL,AUTHORIZED_ACTIONS_COMPLETE; MERGED_SYNCED; EXTERNAL_NOT_TESTED,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PLAN_AND_SIX_RECORDS_LOCAL_UNSTAGED_NOT_PUBLISHED
.agents/skills/SKILL_INDEX.md,UNTRACKED,DELIVER,G1,2424,23e523fb30f3e192d8742dc47fa5356bb09db17e7997aee153ec0d1c97417454,Formal native asset/direct consumer/test/doc or exact authorized deletion,P3-001;P3-027,P3 approved A1–A6 plus named P4/P5 increments; see asset_ids and report§15/16/20/23/50/55/58,P0–P4 exact public backups and increments; P5 recovery-after-resume.json; HEAD only committed baseline,YES_OWNER_APPROVED_EXACT_PACKAGE,G1_STAGED_COMMIT_BLOCKED,OWNER_COMMITTED_VERIFIED,e5f99c87a50ad47856a41f40c2acccf75a5534da,OWNER_COMMITTED_VERIFIED,1eb9257f15ee250b732f5db8a7f0b4266c0d2401,11e24377be7588d6d68564ab9b40fe0027ba3c1e,PUBLISHED_VERIFIED,23e523fb30f3e192d8742dc47fa5356bb09db17e7997aee153ec0d1c97417454,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PR_MERGED_VERIFIED; TECH_BOUNDED_PASS; EXTERNAL_NOT_TESTED,LOCAL_DEVELOP_FF; GITEE_DEVELOP_FF; PLAN_DRAFT_STATE_OWNER_CORRECTION; RECORDS_LOCAL_UNCOMMITTED,PLAN_COMPLETED_LOCAL; LOCAL_DEVELOP_FF_COLLISION; MIRROR_PUSH_APPROVED_PENDING_OWNER_ROUTE,PASS_fc85d3ce; PLAN_COMPLETED_LOCAL; MIRROR_APPROVED_PENDING_OWNER_TERMINAL,AUTHORIZED_ACTIONS_COMPLETE; MERGED_SYNCED; EXTERNAL_NOT_TESTED,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PLAN_AND_SIX_RECORDS_LOCAL_UNSTAGED_NOT_PUBLISHED
.agents/skills/mj-agent-doc-author/SKILL.md,UNTRACKED,DELIVER,G1,19660,c7f75f551f5f91b0a0a437c77d43b451b3ec0099f40d04256130eade2ee93dcd,Formal native asset/direct consumer/test/doc or exact authorized deletion,A030;P3-028,P3 approved A1–A6 plus named P4/P5 increments; see asset_ids and report§15/16/20/23/50/55/58,P0–P4 exact public backups and increments; P5 recovery-after-resume.json; HEAD only committed baseline,YES_OWNER_APPROVED_EXACT_PACKAGE,G1_STAGED_COMMIT_BLOCKED,OWNER_COMMITTED_VERIFIED,e5f99c87a50ad47856a41f40c2acccf75a5534da,OWNER_COMMITTED_VERIFIED,1eb9257f15ee250b732f5db8a7f0b4266c0d2401,11e24377be7588d6d68564ab9b40fe0027ba3c1e,PUBLISHED_VERIFIED,c7f75f551f5f91b0a0a437c77d43b451b3ec0099f40d04256130eade2ee93dcd,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PR_MERGED_VERIFIED; TECH_BOUNDED_PASS; EXTERNAL_NOT_TESTED,LOCAL_DEVELOP_FF; GITEE_DEVELOP_FF; PLAN_DRAFT_STATE_OWNER_CORRECTION; RECORDS_LOCAL_UNCOMMITTED,PLAN_COMPLETED_LOCAL; LOCAL_DEVELOP_FF_COLLISION; MIRROR_PUSH_APPROVED_PENDING_OWNER_ROUTE,PASS_fc85d3ce; PLAN_COMPLETED_LOCAL; MIRROR_APPROVED_PENDING_OWNER_TERMINAL,AUTHORIZED_ACTIONS_COMPLETE; MERGED_SYNCED; EXTERNAL_NOT_TESTED,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PLAN_AND_SIX_RECORDS_LOCAL_UNSTAGED_NOT_PUBLISHED
.agents/skills/mj-agent-doc-migrate/SKILL.md,UNTRACKED,DELIVER,G1,14116,201602f84f68172944d13ca6396c175c80cb5682079d65a87e66ba826b94b1e4,Formal native asset/direct consumer/test/doc or exact authorized deletion,A031;P3-029,P3 approved A1–A6 plus named P4/P5 increments; see asset_ids and report§15/16/20/23/50/55/58,P0–P4 exact public backups and increments; P5 recovery-after-resume.json; HEAD only committed baseline,YES_OWNER_APPROVED_EXACT_PACKAGE,G1_STAGED_COMMIT_BLOCKED,OWNER_COMMITTED_VERIFIED,e5f99c87a50ad47856a41f40c2acccf75a5534da,OWNER_COMMITTED_VERIFIED,1eb9257f15ee250b732f5db8a7f0b4266c0d2401,11e24377be7588d6d68564ab9b40fe0027ba3c1e,PUBLISHED_VERIFIED,201602f84f68172944d13ca6396c175c80cb5682079d65a87e66ba826b94b1e4,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PR_MERGED_VERIFIED; TECH_BOUNDED_PASS; EXTERNAL_NOT_TESTED,LOCAL_DEVELOP_FF; GITEE_DEVELOP_FF; PLAN_DRAFT_STATE_OWNER_CORRECTION; RECORDS_LOCAL_UNCOMMITTED,PLAN_COMPLETED_LOCAL; LOCAL_DEVELOP_FF_COLLISION; MIRROR_PUSH_APPROVED_PENDING_OWNER_ROUTE,PASS_fc85d3ce; PLAN_COMPLETED_LOCAL; MIRROR_APPROVED_PENDING_OWNER_TERMINAL,AUTHORIZED_ACTIONS_COMPLETE; MERGED_SYNCED; EXTERNAL_NOT_TESTED,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PLAN_AND_SIX_RECORDS_LOCAL_UNSTAGED_NOT_PUBLISHED
.agents/skills/mj-agent-doc-plan/SKILL.md,UNTRACKED,DELIVER,G1,13827,0cdd9d513c9770b81b08a4bbd0c334a19facda6366277524dabc22c27a12bcc2,Formal native asset/direct consumer/test/doc or exact authorized deletion,A032;P3-030,P3 approved A1–A6 plus named P4/P5 increments; see asset_ids and report§15/16/20/23/50/55/58,P0–P4 exact public backups and increments; P5 recovery-after-resume.json; HEAD only committed baseline,YES_OWNER_APPROVED_EXACT_PACKAGE,G1_STAGED_COMMIT_BLOCKED,OWNER_COMMITTED_VERIFIED,e5f99c87a50ad47856a41f40c2acccf75a5534da,OWNER_COMMITTED_VERIFIED,1eb9257f15ee250b732f5db8a7f0b4266c0d2401,11e24377be7588d6d68564ab9b40fe0027ba3c1e,PUBLISHED_VERIFIED,0cdd9d513c9770b81b08a4bbd0c334a19facda6366277524dabc22c27a12bcc2,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PR_MERGED_VERIFIED; TECH_BOUNDED_PASS; EXTERNAL_NOT_TESTED,LOCAL_DEVELOP_FF; GITEE_DEVELOP_FF; PLAN_DRAFT_STATE_OWNER_CORRECTION; RECORDS_LOCAL_UNCOMMITTED,PLAN_COMPLETED_LOCAL; LOCAL_DEVELOP_FF_COLLISION; MIRROR_PUSH_APPROVED_PENDING_OWNER_ROUTE,PASS_fc85d3ce; PLAN_COMPLETED_LOCAL; MIRROR_APPROVED_PENDING_OWNER_TERMINAL,AUTHORIZED_ACTIONS_COMPLETE; MERGED_SYNCED; EXTERNAL_NOT_TESTED,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PLAN_AND_SIX_RECORDS_LOCAL_UNSTAGED_NOT_PUBLISHED
.agents/skills/mj-agent-doc-review/SKILL.md,UNTRACKED,DELIVER,G1,13973,a5b5d3715756875da1cda37bd5abbc5f248c625087bfabf3c5b88824ff5d3c54,Formal native asset/direct consumer/test/doc or exact authorized deletion,A033;P3-031,P3 approved A1–A6 plus named P4/P5 increments; see asset_ids and report§15/16/20/23/50/55/58,P0–P4 exact public backups and increments; P5 recovery-after-resume.json; HEAD only committed baseline,YES_OWNER_APPROVED_EXACT_PACKAGE,G1_STAGED_COMMIT_BLOCKED,OWNER_COMMITTED_VERIFIED,e5f99c87a50ad47856a41f40c2acccf75a5534da,OWNER_COMMITTED_VERIFIED,1eb9257f15ee250b732f5db8a7f0b4266c0d2401,11e24377be7588d6d68564ab9b40fe0027ba3c1e,PUBLISHED_VERIFIED,a5b5d3715756875da1cda37bd5abbc5f248c625087bfabf3c5b88824ff5d3c54,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PR_MERGED_VERIFIED; TECH_BOUNDED_PASS; EXTERNAL_NOT_TESTED,LOCAL_DEVELOP_FF; GITEE_DEVELOP_FF; PLAN_DRAFT_STATE_OWNER_CORRECTION; RECORDS_LOCAL_UNCOMMITTED,PLAN_COMPLETED_LOCAL; LOCAL_DEVELOP_FF_COLLISION; MIRROR_PUSH_APPROVED_PENDING_OWNER_ROUTE,PASS_fc85d3ce; PLAN_COMPLETED_LOCAL; MIRROR_APPROVED_PENDING_OWNER_TERMINAL,AUTHORIZED_ACTIONS_COMPLETE; MERGED_SYNCED; EXTERNAL_NOT_TESTED,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PLAN_AND_SIX_RECORDS_LOCAL_UNSTAGED_NOT_PUBLISHED
.agents/skills/mj-agent-doc-sync/SKILL.md,UNTRACKED,DELIVER,G1,13627,6dff5e9db0b4e5503f08a4893488fe4c7fd26548cb6bc847d84e76a3f3663a10,Formal native asset/direct consumer/test/doc or exact authorized deletion,A034;P3-032,P3 approved A1–A6 plus named P4/P5 increments; see asset_ids and report§15/16/20/23/50/55/58,P0–P4 exact public backups and increments; P5 recovery-after-resume.json; HEAD only committed baseline,YES_OWNER_APPROVED_EXACT_PACKAGE,G1_STAGED_COMMIT_BLOCKED,OWNER_COMMITTED_VERIFIED,e5f99c87a50ad47856a41f40c2acccf75a5534da,OWNER_COMMITTED_VERIFIED,1eb9257f15ee250b732f5db8a7f0b4266c0d2401,11e24377be7588d6d68564ab9b40fe0027ba3c1e,PUBLISHED_VERIFIED,6dff5e9db0b4e5503f08a4893488fe4c7fd26548cb6bc847d84e76a3f3663a10,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PR_MERGED_VERIFIED; TECH_BOUNDED_PASS; EXTERNAL_NOT_TESTED,LOCAL_DEVELOP_FF; GITEE_DEVELOP_FF; PLAN_DRAFT_STATE_OWNER_CORRECTION; RECORDS_LOCAL_UNCOMMITTED,PLAN_COMPLETED_LOCAL; LOCAL_DEVELOP_FF_COLLISION; MIRROR_PUSH_APPROVED_PENDING_OWNER_ROUTE,PASS_fc85d3ce; PLAN_COMPLETED_LOCAL; MIRROR_APPROVED_PENDING_OWNER_TERMINAL,AUTHORIZED_ACTIONS_COMPLETE; MERGED_SYNCED; EXTERNAL_NOT_TESTED,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PLAN_AND_SIX_RECORDS_LOCAL_UNSTAGED_NOT_PUBLISHED
.agents/skills/mj-agent-doc-validate/SKILL.md,MODIFIED,DELIVER,G1,13455,58a21e1e06e5b8e1fc8905930b1efe1eb2615500aa7e32336d2c97242727bf0b,Formal native asset/direct consumer/test/doc or exact authorized deletion,A003;A035,P3 approved A1–A6 plus named P4/P5 increments; see asset_ids and report§15/16/20/23/50/55/58,P0–P4 exact public backups and increments; P5 recovery-after-resume.json; HEAD only committed baseline,YES_OWNER_APPROVED_EXACT_PACKAGE,G1_STAGED_COMMIT_BLOCKED,OWNER_COMMITTED_VERIFIED,e5f99c87a50ad47856a41f40c2acccf75a5534da,OWNER_COMMITTED_VERIFIED,1eb9257f15ee250b732f5db8a7f0b4266c0d2401,11e24377be7588d6d68564ab9b40fe0027ba3c1e,PUBLISHED_VERIFIED,58a21e1e06e5b8e1fc8905930b1efe1eb2615500aa7e32336d2c97242727bf0b,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PR_MERGED_VERIFIED; TECH_BOUNDED_PASS; EXTERNAL_NOT_TESTED,LOCAL_DEVELOP_FF; GITEE_DEVELOP_FF; PLAN_DRAFT_STATE_OWNER_CORRECTION; RECORDS_LOCAL_UNCOMMITTED,PLAN_COMPLETED_LOCAL; LOCAL_DEVELOP_FF_COLLISION; MIRROR_PUSH_APPROVED_PENDING_OWNER_ROUTE,PASS_fc85d3ce; PLAN_COMPLETED_LOCAL; MIRROR_APPROVED_PENDING_OWNER_TERMINAL,AUTHORIZED_ACTIONS_COMPLETE; MERGED_SYNCED; EXTERNAL_NOT_TESTED,fc85d3cec66ef7a8ccec07aa1d0f09af10e828d8,PLAN_AND_SIX_RECORDS_LOCAL_UNSTAGED_NOT_PUBLISHED
