asset_id,path,purpose,replacement,consumer_evidence,scan_scope,current_sha256,recovery,authorization,cleanup_candidate,cleanable,reason
A001,.agents.lock.json,extract-valid-semantics-then-retire,native skills/config/guards/checks; historical baseline retained,".agents/skills/mj-agent-git-commit/SKILL.md:119; .claude/skills/mj-agent-git-commit/SKILL.md:119; .github/PULL_REQUEST_TEMPLATE.md:68; AGENTS.md:42,65,222; policies/ai-agent.md:94,114,164,430; policies/claude-code-skill.md:194; scripts/sdd/_common/codex_config_renderer.py:57; scripts/sdd/_common/codex_hook_renderer.py:63; scripts/sdd/_common/codex_rule_renderer.py:47; scripts/sdd/_common/enforcement_source.py:174,225; scripts/sdd/_common/projection_loader.py:18,47,91; scripts/sdd/agents_sync.py:25,158,171,189,201,210,1793; scripts/sdd/check_agents_projection.py:14,79,291,297,298,308,323,334,358,362,376,394,409; scripts/sdd/check_cross_carrier.py:10,242,244,250,262; scripts/sdd/task0_freeze.py:114; sdd/adapters/codex-enforcement.yml:12,142; sdd/adapters/codex-skills-readme.md:3,23; sdd/adapters/development-agent.md:92,134; sdd/gates.md:61; tests/unit/test_agents_sync.py:64,83,90,180,184,195,248,249,275,281,424,529,543,617,1991,2011,2033,2039,2065,2132,2150,2155,2158,2180,2184; tests/unit/test_carrier_cutover_c1.py:171; tests/unit/test_codex_enforcement_d1a.py:138,140,359,488,793; tests/unit/test_cross_carrier_v12.py:102,169,214; tests/unit/test_lock_v2.py:449; tests/unit/test_sdd_development_agent.py:353,372,388,408; tests/unit/test_stage11_fixes.py:122,138,153,155,164,207; tests/unit/test_task0_freeze.py:54,140; tests/unit/test_v2_engine.py:200,248,254,276,312,371,374,564",asset-map/P3 inventory + p4-prerequisite-verification.json targeted scan; no exhaustive zero-consumer proof,5ecfe8cdbee7c587b787b824eb990d7dd283851d0f63b2a65b31ffb75b4a6823,20e2f24c352cf640d9dd33234b128ca897804b99:.agents.lock.json,NO_DELETE_AUTHORIZATION,CONDITIONAL_FUTURE_REVIEW,NO,P3_NOT_APPLIED; P4_BLOCKED_PREREQUISITE; active or unresolved consumers / required evidence retained
A002,.agents/README.md,replace-generated-document,.agents/README.md,"AGENTS.md:42; scripts/sdd/_common/codex_readme_renderer.py:1; scripts/sdd/_common/projection_loader.py:195; scripts/sdd/agents_sync.py:24,1239,1240; scripts/sdd/check_cross_carrier.py:9; sdd/adapters/development-agent.md:134; sdd/gates.md:62,64; tests/unit/test_agents_sync.py:194; tests/unit/test_lock_v2.py:95,222,468; tests/unit/test_run_codex_carrier_probe_p1b.py:242,248,453,454,515,603; tests/unit/test_v2_engine.py:214",asset-map/P3 inventory + p4-prerequisite-verification.json targeted scan; no exhaustive zero-consumer proof,fe214083bbd0c788fcc21009820613381520241c1a2f3daf72cf48b5440157a4,20e2f24c352cf640d9dd33234b128ca897804b99:.agents/README.md,NO_DELETE_AUTHORIZATION,KEEP_OR_REVIEW_ONLY,NO,P3_NOT_APPLIED; P4_BLOCKED_PREREQUISITE; active or unresolved consumers / required evidence retained
A003,.agents/skills/mj-agent-doc-validate/SKILL.md,replace-generated-carrier,.agents/skills/mj-agent-doc-validate/SKILL.md,.claude/settings.json; .mcp.json; AGENTS.md; CLAUDE.md; docs/INDEX.md; scripts/check_frontmatter.py; scripts/check_wikilinks.py; scripts/sdd/agents_sync.py; sdd/adapters/development-agent.md,asset-map/P3 inventory + p4-prerequisite-verification.json targeted scan; no exhaustive zero-consumer proof,4ca7c4c80b9e82bcde73718ede6880d5fe504a5858a4fb48545da228c9fe46f6,20e2f24c352cf640d9dd33234b128ca897804b99:.agents/skills/mj-agent-doc-validate/SKILL.md,NO_DELETE_AUTHORIZATION,KEEP_OR_REVIEW_ONLY,NO,P3_NOT_APPLIED; P4_BLOCKED_PREREQUISITE; active or unresolved consumers / required evidence retained
A004,.agents/skills/mj-agent-flow-diagnose/SKILL.md,replace-generated-carrier,.agents/skills/mj-agent-flow-diagnose/SKILL.md,CLAUDE.md; scripts/sdd/run_offline_pytest.py; sdd/workflows/execution-loop.md,asset-map/P3 inventory + p4-prerequisite-verification.json targeted scan; no exhaustive zero-consumer proof,6ef02a700b543110bd789b98ffb8c07268e05815d240789bbab5a22895007694,20e2f24c352cf640d9dd33234b128ca897804b99:.agents/skills/mj-agent-flow-diagnose/SKILL.md,NO_DELETE_AUTHORIZATION,KEEP_OR_REVIEW_ONLY,NO,P3_NOT_APPLIED; P4_BLOCKED_PREREQUISITE; active or unresolved consumers / required evidence retained
A005,.agents/skills/mj-agent-flow-implement/SKILL.md,replace-generated-carrier,.agents/skills/mj-agent-flow-implement/SKILL.md,.agents/skills/mj-agent-flow-plan/SKILL.md; .agents/skills/mj-agent-flow-self-review/SKILL.md; .agents/skills/mj-agent-flow-verify/SKILL.md; .claude/settings.json; AGENTS.md; README.md; config/README.md; docker/Dockerfile; docker/compose.yaml; langgraph.json; policies/docker-runtime.md; pyproject.toml; scripts/encrypt-secrets.ps1; scripts/sdd/agents_sync.py,asset-map/P3 inventory + p4-prerequisite-verification.json targeted scan; no exhaustive zero-consumer proof,0b38eb853c966cc2dcdda13f2cddb75b50aa5497bccb447be0c15b695c70af71,20e2f24c352cf640d9dd33234b128ca897804b99:.agents/skills/mj-agent-flow-implement/SKILL.md,NO_DELETE_AUTHORIZATION,KEEP_OR_REVIEW_ONLY,NO,P3_NOT_APPLIED; P4_BLOCKED_PREREQUISITE; active or unresolved consumers / required evidence retained
A006,.agents/skills/mj-agent-flow-intake/SKILL.md,replace-generated-carrier,.agents/skills/mj-agent-flow-intake/SKILL.md,.claude/settings.json; AGENTS.md; CLAUDE.md; docker/Dockerfile; docs/_templates/TEMPLATE_ISSUE.md; langgraph.json; policies/ai-agent.md; policies/docker-runtime.md; pyproject.toml; scripts/check_wikilinks.py; scripts/sdd/agents_sync.py; scripts/sdd/run_offline_pytest.py; uv.lock,asset-map/P3 inventory + p4-prerequisite-verification.json targeted scan; no exhaustive zero-consumer proof,76c2a03ce7231bac6926b00d1958b0bfcd73ca193de8c19b041fb2456c4c4cc9,20e2f24c352cf640d9dd33234b128ca897804b99:.agents/skills/mj-agent-flow-intake/SKILL.md,NO_DELETE_AUTHORIZATION,KEEP_OR_REVIEW_ONLY,NO,P3_NOT_APPLIED; P4_BLOCKED_PREREQUISITE; active or unresolved consumers / required evidence retained
A007,.agents/skills/mj-agent-flow-plan/SKILL.md,replace-generated-carrier,.agents/skills/mj-agent-flow-plan/SKILL.md,".agents/skills/mj-agent-flow-implement/SKILL.md:326; tests/unit/test_lock_v2.py:75,223; tests/unit/test_run_codex_carrier_probe.py:173",asset-map/P3 inventory + p4-prerequisite-verification.json targeted scan; no exhaustive zero-consumer proof,312b96da29f6e4ca83a7d22390c93817828ffc2119b6b783199ee1f4e84d471c,20e2f24c352cf640d9dd33234b128ca897804b99:.agents/skills/mj-agent-flow-plan/SKILL.md,NO_DELETE_AUTHORIZATION,KEEP_OR_REVIEW_ONLY,NO,P3_NOT_APPLIED; P4_BLOCKED_PREREQUISITE; active or unresolved consumers / required evidence retained
A008,.agents/skills/mj-agent-flow-post-merge/SKILL.md,replace-generated-carrier,.agents/skills/mj-agent-flow-post-merge/SKILL.md,.agents/skills/mj-agent-git-delete/SKILL.md; .agents/skills/mj-agent-git-issue/SKILL.md; .agents/skills/mj-agent-git-sync/SKILL.md; .claude/settings.json; AGENTS.md; CHANGELOG.md; CLAUDE.md; scripts/sdd/agents_sync.py; scripts/sync-gitee-mirror.ps1,asset-map/P3 inventory + p4-prerequisite-verification.json targeted scan; no exhaustive zero-consumer proof,13ab8b7d21fa796ff0e39124a14a0d1a97eba0ad460ef9e9e7e7243659669339,20e2f24c352cf640d9dd33234b128ca897804b99:.agents/skills/mj-agent-flow-post-merge/SKILL.md,NO_DELETE_AUTHORIZATION,KEEP_OR_REVIEW_ONLY,NO,P3_NOT_APPLIED; P4_BLOCKED_PREREQUISITE; active or unresolved consumers / required evidence retained
A009,.agents/skills/mj-agent-flow-repo-scan/SKILL.md,replace-generated-carrier,.agents/skills/mj-agent-flow-repo-scan/SKILL.md,.agents/skills/mj-agent-flow-plan/SKILL.md:304,asset-map/P3 inventory + p4-prerequisite-verification.json targeted scan; no exhaustive zero-consumer proof,ba160a28563d74965d72f6de618857fce1f3c06749e1464b52544aff3046fa55,20e2f24c352cf640d9dd33234b128ca897804b99:.agents/skills/mj-agent-flow-repo-scan/SKILL.md,NO_DELETE_AUTHORIZATION,KEEP_OR_REVIEW_ONLY,NO,P3_NOT_APPLIED; P4_BLOCKED_PREREQUISITE; active or unresolved consumers / required evidence retained
A010,.agents/skills/mj-agent-flow-review-respond/SKILL.md,replace-generated-carrier,.agents/skills/mj-agent-flow-review-respond/SKILL.md,.agents/skills/mj-agent-flow-scope-drift/SKILL.md; .agents/skills/mj-agent-flow-self-review/SKILL.md; .agents/skills/mj-agent-git-issue/SKILL.md; .claude/settings.json; .claude/skills/mj-agent-git-review-pr/SKILL.md; AGENTS.md; scripts/sdd/agents_sync.py; scripts/sdd/run_offline_pytest.py; sdd/adapters/development-agent.md,asset-map/P3 inventory + p4-prerequisite-verification.json targeted scan; no exhaustive zero-consumer proof,a570008ae0eb1115a74d5c63a4a54ecb7d0992dfc8d397a7a2deec84f51cfdb3,20e2f24c352cf640d9dd33234b128ca897804b99:.agents/skills/mj-agent-flow-review-respond/SKILL.md,NO_DELETE_AUTHORIZATION,KEEP_OR_REVIEW_ONLY,NO,P3_NOT_APPLIED; P4_BLOCKED_PREREQUISITE; active or unresolved consumers / required evidence retained
